killed_by,killer_placement,killer_position_x,killer_position_y,victim_placement,victim_position_x,victim_position_y,vektorX,vektorY,vzdialenost
AKM,12.0,376333,317858,15.0,372808,297124,3525,20734,21031
AKM,25.0,368799,420810,43.0,368015,421322,784,512,936
Kar98k,1.0,537062,262886,7.0,531516,261727,5546,1159,5665
Kar98k,10.0,523742,358413,14.0,539250,369010,15508,10597,18782
Kar98k,1.0,566307,267828,5.0,581870,262490,15563,5338,16453
AKM,25.0,368738,417488,26.0,368821,417726,83,238,252
AKM,25.0,361569,419730,36.0,361278,419166,291,564,634
AKM,25.0,369184,421062,43.0,368332,421274,852,212,877
Kar98k,1.0,421409,284009,12.0,363693,269831,57716,14178,59431
Kar98k,1.0,434681,281067,12.0,367543,249424,67138,31643,74221
AKM,8.0,375674,444623,14.0,365746,440418,9928,4205,10781
AKM,23.0,438738,280966,20.0,439108,280929,370,37,371
AKM,11.0,314694,357176,11.0,314933,357130,239,46,243
Kar98k,1.0,381091,280262,12.0,407818,249801,26727,30461,40524
AKM,7.0,445178,337286,16.0,449462,336773,4284,513,4314
Kar98k,1.0,212004,486172,10.0,215569,496083,3565,9911,10532
Kar98k,2.0,171708,537506,5.0,151591,533191,20117,4315,20574
AKM,10.0,364339,417049,18.0,364939,417482,600,433,739
AKM,26.0,389574,289679,35.0,391384,286871,1810,2808,3340
AKM,15.0,387202,118964,40.0,386767,118908,435,56,438
Kar98k,1.0,367444,284770,8.0,391152,284914,23708,144,23708
AKM,9.0,361280,395966,43.0,355992,400738,5288,4772,7122
AKM,1.0,396662,307742,2.0,396531,304991,131,2751,2754
AKM,1.0,387145,313930,3.0,388729,313930,1584,0,1584
AKM,15.0,386888,115383,40.0,387569,116193,681,810,1058
AKM,1.0,384718,315072,3.0,385597,315398,879,326,937
AKM,21.0,423913,326107,33.0,420920,324385,2993,1722,3453
AKM,21.0,422166,327937,33.0,421928,328134,238,197,308
AKM,9.0,361247,395928,43.0,356090,400734,5157,4806,7049
AKM,25.0,417469,330103,21.0,417447,329788,22,315,315
AKM,26.0,392153,286311,35.0,393994,286163,1841,148,1846
AKM,4.0,347226,142356,9.0,345692,141435,1534,921,1789
Kar98k,17.0,198664,237887,48.0,0,0,198664,237887,309931
